"SampleID","HostCounts"
"OA4_C_W",18323
"OA5_F_W",221233
"OA6_H_W",344287
"OC4_F_B",288914
"OC5_H_B",180792
"OC9_C_B",318337
"OD4_C_B",255933
"OD5_F_B",526111
"OD6_H_B",271569
"OE10_F_W",380053
"OE11_C_W",244119
"OE3_H_W",372206
"OF7_C_B",156872
"OF8_F_B",297083
"OF9_H_B",438839
"OH11_F_W",209505
"OH15_H_W",534770
"OH1_C_W",303477
"OI1_C_B",657766
"OI2_F_B",417661
"OI3_H_B",232085
"OJ13_C_B",525116
"OJ14_F_B",640399
"OJ15_H_B",189255
"OK1_C_W",84859
"OK2_F_W",354591
"OK3_H_W",194220
"OL6_C_B",304863
"OL7_F_B",398154
"OL8_H_B",216377
"OM1_C_B",528331
"OM2_F_B",180069
"OM3_H_B",224827
"ON4_C_W",404358
"ON5_F_W",1245818
"ON6_H_W",197072
"OO1_C_W",492086
"OO2_F_W",364733
"OP1_C_W",434079
"OP2_F_W",409622
"OP3_H_W",320730
"OQ11_H_W",378358
"OQ1_C_W",269162
"OQ4_F_W",897646
"OR7_C_B",284083
"OR8_F_B",392987
"OR9_H_B",149213
